name,texto,cluster_textclass
Cloud Sprite,Flying (This creature can’t be blocked except by creatures with flying or reach.)Cloud Sprite can block only creatures with flying.,345
Crafty Pathmage,{T}: Target creature with power 2 or less can’t be blocked this turn.,188
Denizen of the Deep,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner’s hand.",416
Dreamborn Muse,"At the beginning of each player’s upkeep, that player mills X cards, where X is the number of cards in their hand.",334
Fog Elemental,"Flying (This creature can’t be blocked except by creatures with flying or reach.)When Fog Elemental attacks or blocks, sacrifice it at end of combat.",307
Horseshoe Crab,{U}: Untap Horseshoe Crab.,371
Mahamoti Djinn,Flying (This creature can’t be blocked except by creatures with flying or reach.),225
Merfolk Looter,"{T}: Draw a card, then discard a card.",203
Phantom Warrior,Phantom Warrior can’t be blocked.,44
Puppeteer,"{U}, {T}: You may tap or untap target creature.",471
Rootwater Commando,Islandwalk (This creature can’t be blocked as long as defending player controls an Island.),146
Rootwater Matriarch,{T}: Gain control of target creature for as long as that creature is enchanted.,421
Sage Owl,"FlyingWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order.",337
Scalpelexis,"Flying (This creature can’t be blocked except by creatures with flying or reach.)Whenever Scalpelexis deals combat damage to a player, that player exiles the top four cards of their library. If two or more of those cards have the same name, repeat this process.",104
Sea Monster,"Sealock Monster can’t attack unless defending player controls an Island.{5}{U}{U}: Monstrosity 3. (If this creature isn’t monstrous, put three +1/+1 counters on it and it becomes monstrous.)When Sealock Monster becomes monstrous, target land becomes an Island in addition to its other types.",343
Sky Weaver,{2}: Target white or black creature gains flying until end of turn. (It can’t be blocked except by creatures with flying or reach.),208
Snapping Drake,Flying (This creature can’t be blocked except by creatures with flying or reach.),225
Spiketail Hatchling,Flying (This creature can’t be blocked except by creatures with flying or reach.)Sacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.,104
Thieving Magpie,"Flying (This creature can’t be blocked except by creatures with flying or reach.)Whenever Thieving Magpie deals damage to an opponent, draw a card.",307
Tidings,"FlyingWhen Crow of Dark Tidings enters the battlefield or dies, mill two cards. (Put the top two cards of your library into your graveyard.)",489
Twincast,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)If one or more tokens would be created under your control, twice that many of those tokens are created instead.",290
Twitch,"{T}, Sacrifice up to three permanents: If there were three or more card types among the sacrificed permanents, each opponent loses 3 life, you gain 3 life, and you draw three cards.",277
Vedalken Mastermind,"{U}, {T}: Return target permanent you control to its owner’s hand.",384
Wall of Air,"Defender, flying (This creature can’t attack, and it can block creatures with flying.)",11
Afflict,"When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.",209
Ascendant Evincar,Flying (This creature can’t be blocked except by creatures with flying or reach.)Other black creatures get +1/+1.Nonblack creatures get -1/-1.,307
Bog Wraith,Swampwalk (This creature can’t be blocked as long as defending player controls a Swamp.),146
Doomed Necromancer,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.",58
Drudge Skeletons,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn’t. Instead tap it, remove all damage from it, and remove it from combat.)",171
Dusk Imp,Flying,21
Fear,"Nitro-9 — Whenever Ace, Fearless Rebel attacks, you may sacrifice an artifact. When you do, put a +1/+1 counter on Ace, Fearless Rebel, then it fights up to one target creature defending player controls.Doctor’s companion (You can have two commanders if the other is the Doctor.)",157
Festering Goblin,"When Festering Goblin dies, target creature gets -1/-1 until end of turn.",526
Graveborn Muse,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.",436
Gravedigger,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",336
Hate Weaver,{2}: Target blue or red creature gets +1/+0 until end of turn.,99
Hidden Horror,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.",152
Highway Robber,"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life.",25
Hypnotic Specter,"FlyingWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",263
Knight of Dusk,{B}{B}: Destroy target creature blocking Knight of Dusk.,136
Looming Shade,{B}: Looming Shade gets +1/+1 until end of turn.,320
Lord of the Pit,"Flying, trampleAt the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can’t, Lord of the Pit deals 7 damage to you.",483
Lord of the Undead,"Other Zombie creatures get +1/+1.{1}{B}, {T}: Return target Zombie card from your graveyard to your hand.",82
Nantuko Husk,Sacrifice a creature: Nantuko Husk gets +2/+2 until end of turn.,306
Nekrataal,"First strikeWhen Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can’t be regenerated.",329
Phage the Untouchable,"When Phage the Untouchable enters the battlefield, if you didn’t cast it from your hand, you lose the game.Whenever Phage deals combat damage to a creature, destroy that creature. It can’t be regenerated.Whenever Phage deals combat damage to a player, that player loses the game.",416
Phyrexian Rager,"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.",25
Plague Beetle,Swampwalk (This creature can’t be blocked as long as defending player controls a Swamp.),146
Ravenous Rats,"When Ravenous Rats enters the battlefield, target opponent discards a card.",402
Relentless Rats,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.A deck can have any number of cards named Relentless Rats.,402
Royal Assassin,{T}: Destroy target tapped creature.,438
Sengir Vampire,"Flying (This creature can’t be blocked except by creatures with flying or reach.)Whenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.",307
Severed Legion,Fear (This creature can’t be blocked except by artifact creatures and/or black creatures.),499
Spineless Thug,Spineless Thug can’t block.,459
Thrull Surgeon,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player’s hand and choose a card from it. That player discards that card. Activate only as a sorcery.",418
Vampire Bats,Flying (This creature can’t be blocked except by creatures with flying or reach.){B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.,307
Anaba Bodyguard,First strike (This creature deals combat damage before creatures without first strike.),464
Bloodfire Colossus,"{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player.",386
Bloodrock Cyclops,Bloodrock Cyclops attacks each combat if able.,411
Bogardan Firefiend,"When Bogardan Firefiend dies, it deals 2 damage to target creature.",356
Demolish,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",290
Duct Crawler,{1}{R}: Target creature can’t block Duct Crawler this turn.,188
Earth Elemental,"Siege Monster — When Earth-Cult Elemental enters the battlefield, roll a d20.1—9 | Each player sacrifices a permanent.10—19 | Each opponent sacrifices a permanent.20 | Each opponent sacrifices two permanents.",323
Flamewave Invoker,{7}{R}: Flamewave Invoker deals 5 damage to target player or planeswalker.,364
Furnace Whelp,Flying{R}: Furnace Whelp gets +1/+0 until end of turn.,348
Goblin Elite Infantry,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn.",132
Goblin King,Other Goblins get +1/+1 and have mountainwalk.,135
Goblin Sky Raider,Flying (This creature can’t be blocked except by creatures with flying or reach.),225
Hill Giant,Mountainwalk (This creature can’t be blocked as long as defending player controls a Mountain.),17
"Kamahl, Pit Fighter","Haste (This creature can attack and {T} as soon as it comes under your control.){T}: Kamahl, Pit Fighter deals 3 damage to any target.",481
Lavaborn Muse,"At the beginning of each opponent’s upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to that player.",241
Lightning Elemental,Haste (This creature can attack and {T} as soon as it comes under your control.),481
Mogg Fanatic,Sacrifice Mogg Fanatic: It deals 1 damage to any target.,180
Orcish Artillery,{T}: Orcish Artillery deals 2 damage to any target and 3 damage to you.,389
Prodigal Pyromancer,{T}: Prodigal Pyromancer deals 1 damage to any target.,364
Rage Weaver,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.),490
Raging Goblin,Haste (This creature can attack and {T} as soon as it comes under your control.),481
Rock Badger,Mountainwalk (This creature can’t be blocked as long as defending player controls a Mountain.),17
Scoria Wurm,"At the beginning of your upkeep, flip a coin. If you lose the flip, return Scoria Wurm to its owner’s hand.",152
Shivan Dragon,Flying (This creature can’t be blocked except by creatures with flying or reach.){R}: Shivan Dragon gets +1/+0 until end of turn.,104
Shivan Hellkite,Flying (This creature can’t be blocked except by creatures with flying or reach.){1}{R}: Shivan Hellkite deals 1 damage to any target.,104
Shunt,"When Nylea’s Huntmaster enters the battlefield, target creature you control gets +X/+0 until end of turn, where X is your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)",498
Siege-Gang Commander,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",135
Spark Elemental,"Trample, haste (This creature can deal excess combat damage to the player or planeswalker it’s attacking. This creature can attack and {T} as soon as it comes under your control.)At the beginning of the end step, sacrifice Spark Elemental.",213
"Squee, Goblin Nabob","At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand.",28
Thundering Giant,Haste (This creature can attack and {T} as soon as it comes under your control.),481
Viashino Runner,Menace (This creature can’t be blocked except by two or more creatures.),234
Viashino Sandscout,"Haste (This creature can attack and {T} as soon as it comes under your control.)At the beginning of the end step, return Viashino Sandscout to its owner’s hand. (Return it only if it’s on the battlefield.)",481
Wall of Fire,Defender (This creature can’t attack.){R}: Wall of Fire gets +1/+0 until end of turn.,529
Avatar of Might,"If an opponent controls at least four more creatures than you, this spell costs {6} less to cast.Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)",439
Birds of Paradise,Flying{T}: Add one mana of any color.,212
Canopy Spider,Reach (This creature can block creatures with flying.),225
Civic Wayfinder,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",528
Elven Riders,Elven Riders can’t be blocked except by Walls and/or creatures with flying.,44
Elvish Berserker,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.",192
Elvish Champion,Other Elf creatures get +1/+1 and have forestwalk. (They can’t be blocked as long as defending player controls a Forest.),395
Elvish Piper,"{G}, {T}: You may put a creature card from your hand onto the battlefield.",409
Femeref Archers,{T}: Femeref Archers deals 4 damage to target attacking creature with flying.,77
Gaea's Herald,Creature spells can’t be countered.,298
Giant Spider,Reach (This creature can block creatures with flying.),225
Hunted Wumpus,"When Hunted Wumpus enters the battlefield, each other player may put a creature card from their hand onto the battlefield.",74
Joiner Adept,Lands you control have “{T}: Add one mana of any color.”,107
Karplusan Strider,Karplusan Strider can’t be the target of blue or black spells.,44
Kavu Climber,"When Kavu Climber enters the battlefield, draw a card.",238
Llanowar Elves,{T}: Add {G}.,299
Llanowar Sentinel,"When Llanowar Sentinel enters the battlefield, you may pay {1}{G}. If you do, search your library for a card named Llanowar Sentinel, put that card onto the battlefield, then shuffle.",173
Might Weaver,{2}: Target red or white creature gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it’s attacking.),189
"Mirri, Cat Warrior","First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can’t be blocked as long as defending player controls a Forest, and attacking doesn’t cause this creature to tap.)",40
Pincher Beetles,Shroud (This creature can’t be the target of spells or abilities.),3
Quirion Dryad,"Whenever you cast a spell that’s white, blue, black, or red, put a +1/+1 counter on Quirion Dryad.",491
Rhox,You may pay {R}{G} rather than pay this spell’s mana cost. Spend only mana produced by Treasures to cast it this way.,149
Rootwalla,{1}{G}: Rootwalla gets +2/+2 until end of turn. Activate only once each turn.,99
Rushwood Dryad,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.),17
Seedborn Muse,Untap all permanents you control during each other player’s untap step.,172
Skyshroud Ranger,{T}: You may put a land card from your hand onto the battlefield. Activate only as a sorcery.,409
Stalking Tiger,Stalking Tiger can’t be blocked by more than one creature.,44
Stampeding Wildebeests,"Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)At the beginning of your upkeep, return a green creature you control to its owner’s hand.",427
Sylvan Basilisk,"Whenever Sylvan Basilisk becomes blocked by a creature, destroy that creature.",469
Tangle Spider,Flash (You may cast this spell any time you could cast an instant.)Reach (This creature can block creatures with flying.),518
Troll Ascetic,Hexproof (This creature can’t be the target of spells or abilities your opponents control.){1}{G}: Regenerate Troll Ascetic.,227
Verdant Force,"At the beginning of each upkeep, create a 1/1 green Saproling creature token.",142
Viridian Shaman,"When Viridian Shaman enters the battlefield, destroy target artifact.",537
Wall of Wood,Defender (This creature can’t attack.),477
Yavimaya Enchantress,Yavimaya Enchantress gets +1/+1 for each enchantment on the battlefield.,375
Bottle Gnomes,Sacrifice Bottle Gnomes: You gain 3 life.,277
Colossus of Sardia,Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)Colossus of Sardia doesn’t untap during your untap step.{9}: Untap Colossus of Sardia. Activate only during your upkeep.,451
Composite Golem,Sacrifice Composite Golem: Add {W}{U}{B}{R}{G}.,455
The Hive,"DefenderAt the beginning of your upkeep, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",176
Juggernaut,Juggernaut attacks each combat if able.Juggernaut can’t be blocked by Walls.,486
Mantis Engine,{2}: Mantis Engine gains flying until end of turn. (It can’t be blocked except by creatures with flying or reach.){2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.),118
Ornithopter,Flying,21
Platinum Angel,FlyingYou can’t lose the game and your opponents can’t win the game.,308
Razormane Masticore,"First strike (This creature deals combat damage before creatures without first strike.)At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.",379
Steel Golem,You can’t cast creature spells.,261
Mountain,Mountainwalk (This creature can’t be blocked as long as defending player controls a Mountain.),17
Forest,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)When Deep Forest Hermit enters the battlefield, create four 1/1 green Squirrel creature tokens.Squirrels you control get +1/+1.",10
Benalish Hero,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature’s combat damage, not its controller, among any of the creatures it’s being blocked by or is blocking.)",55
Blessing,"FlyingWhenever Blessed Hippogriff attacks, target attacking creature without flying gains flying until end of turn.",361
Mesa Pegasus,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature’s combat damage, not its controller, among any of the creatures it’s being blocked by or is blocking.)",55
Northern Paladin,"{W}{W}, {T}: Destroy target black permanent.",136
Personal Incarnation,"{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation’s owner may activate this ability.When Personal Incarnation dies, its owner loses half their life, rounded up.",264
Red Ward,"Predation Steward enters the battlefield with two oil counters on it.{2}{G}, {T}, Remove an oil counter from Predation Steward: Target creature gets +2/+2 until end of turn. Activate only as a sorcery.",332
Veteran Bodyguard,"As long as Veteran Bodyguard is untapped, all damage that would be dealt to you by unblocked creatures is dealt to Veteran Bodyguard instead.",468
White Knight,"First strike (This creature deals combat damage before creatures without first strike.)Protection from black (This creature can’t be blocked, targeted, dealt damage, or enchanted by anything black.)",118
Flight,"FlyingAt the beginning of your upkeep, return target Spirit card from your graveyard to your hand.",488
Lord of Atlantis,Other Merfolk get +1/+1 and have islandwalk. (They can’t be blocked as long as defending player controls an Island.),105
Phantasmal Forces,"FlyingAt the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.",287
Phantom Monster,Flying,21
Pirate Ship,"Pirate Ship can’t attack unless defending player controls an Island.{T}: Pirate Ship deals 1 damage to any target.When you control no Islands, sacrifice Pirate Ship.",343
Prodigal Sorcerer,{T}: Prodigal Sorcerer deals 1 damage to any target.,360
Sea Serpent,Deep-Sea Serpent can’t attack unless defending player controls an Island.,343
Wall of Water,Defender (This creature can’t attack.){U}: Wall of Water gets +1/+0 until end of turn.,529
Water Elemental,"When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.Unearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",275
Black Knight,"First strike (This creature deals combat damage before creatures without first strike.)Protection from white (This creature can’t be blocked, targeted, dealt damage, or enchanted by anything white.)",118
Demonic Hordes,"{T}: Destroy target land.At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent’s choice.",29
Frozen Shade,{B}: Frozen Shade gets +1/+1 until end of turn.,320
Nether Shadow,"HasteAt the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.",70
Nettling Imp,"{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. Destroy it at the beginning of the next end step if it didn’t attack this turn. Activate only during an opponent’s turn, before attackers are declared.",136
Scavenging Ghoul,"At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.",508
Wall of Bone,"Defender (This creature can’t attack.){B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn’t. Instead tap it, remove all damage from it, and remove it from combat.)",529
Will-o'-the-Wisp,"Flying (This creature can’t be blocked except by creatures with flying or reach.){B}: Regenerate Will-o’-the-Wisp. (The next time this creature would be destroyed this turn, it isn’t. Instead tap it, remove all damage from it, and remove it from combat.)",307
Zombie Master,Other Zombie creatures have swampwalk. (They can’t be blocked as long as defending player controls a Swamp.)Other Zombies have “{B}: Regenerate this permanent.”,146
Dragon Whelp,"Flying{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.",348
Dwarven Demolition Team,{T}: Destroy target Wall.,136
Dwarven Warriors,{T}: Target creature with power 2 or less can’t be blocked this turn.,188
Fire Elemental,"HasteBrushfire Elemental can’t be blocked by creatures with power 2 or less.Landfall — Whenever a land enters the battlefield under your control, Brushfire Elemental gets +2/+2 until end of turn.",90
Fork,Flying,21
Goblin Balloon Brigade,{R}: Goblin Balloon Brigade gains flying until end of turn.,404
Granite Gargoyle,Flying{R}: Granite Gargoyle gets +0/+1 until end of turn.,348
Ironclaw Orcs,Ironclaw Orcs can’t block creatures with power 2 or greater.,378
Roc of Kher Ridges,Flying,21
Sedge Troll,Sedge Troll gets +1/+1 as long as you control a Swamp.{B}: Regenerate Sedge Troll.,7
Stone Giant,{T}: Target creature you control with toughness less than Stone Giant’s power gains flying until end of turn. Destroy that creature at the beginning of the next end step.,404
Two-Headed Giant of Foriys,TrampleTwo-Headed Giant of Foriys can block an additional creature each combat.,504
Uthden Troll,{R}: Regenerate Uthden Troll.,7
Wall of Stone,Defender (This creature can’t attack.),477
Berserk,"Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)",139
Channel,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)Delirium — As long as there are four or more card types among cards in your graveyard, Dragon’s Rage Channeler gets +2/+0, has flying, and attacks each combat if able.",419
Cockatrice,"FlyingWhenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",223
Elvish Archers,First strike,240
Fog,"FlashWhenever an opponent searches their library, you gain 1 life and draw a card.",168
Force of Nature,"Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.",427
Fungusaur,"Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.",349
Ley Druid,{T}: Untap target land.,371
Scryb Sprites,Flying,21
Shanodin Dryads,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.),17
Thicket Basilisk,"Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",469
Timber Wolves,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature’s combat damage, not its controller, among any of the creatures it’s being blocked by or is blocking.)",55
Verduran Enchantress,"Whenever you cast an enchantment spell, you may draw a card.",249
Wall of Brambles,Defender (This creature can’t attack.){G}: Regenerate Wall of Brambles.,529
Wall of Ice,Defender (This creature can’t attack.),477
War Mammoth,"TrampleCycling {X}{2}{R} ({X}{2}{R}, Discard this card: Draw a card.)When you cycle Rampaging War Mammoth, destroy up to X target artifacts.",191
Web,"ReachWhen Acid Web Spider enters the battlefield, you may destroy target Equipment.",164
Clockwork Beast,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can’t cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep.",349
Living Wall,Defender (This creature can’t attack.){1}: Regenerate Living Wall.,529
"Emrakul, the Aeons Torn","This spell can’t be countered.When you cast this spell, take an extra turn after this one.Flying, protection from spells that are one or more colors, annihilator 6When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",298
"Kozilek, Butcher of Truth","When you cast this spell, draw four cards.Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",235
"Ulamog, the Infinite Gyre","When you cast this spell, destroy target permanent.IndestructibleAnnihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)When Ulamog, the Infinite Gyre is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",235
Abzan Falconer,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)Each creature you control with a +1/+1 counter on it has flying.",315
Ainok Bond-Kin,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)Each creature you control with a +1/+1 counter on it has first strike.",119
Anointer of Valor,"FlyingWhenever a creature attacks, you may pay {3}. When you do, put a +1/+1 counter on that creature.",503
Doomed Traveler,"When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying.",30
Emiel the Blessed,"{3}: Exile another target creature you control, then return it to the battlefield under its owner’s control.Whenever another creature enters the battlefield under your control, you may pay {G/W}. If you do, put a +1/+1 counter on it. If it’s a Unicorn, put two +1/+1 counters on it instead. ({G/W} can be paid with either {G} or {W}.)",431
Flickerwisp,"FlyingWhen Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner’s control at the beginning of the next end step.",365
Last Breath,"{3}, Sacrifice another nontoken creature: Create a 1/1 white and black Spirit creature token with flying.Afterlife 3 (When this creature dies, create three 1/1 white and black Spirit creature tokens with flying.)",293
Leonin Arbiter,Players can’t search libraries. Any player may pay {2} for that player to ignore this effect until end of turn.,149
Mentor of the Meek,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.",238
Militia Bugler,"Vigilance (Attacking doesn’t cause this creature to tap.)When Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",54
