Name,Price1,Price2,Price3
Determined,Erro,Erro,Erro
Bound,Erro,Erro,Erro
Punishment,Erro,Erro,Erro
Homura's Essence,Erro,Erro,Erro
"Homura, Human Ascendant",Erro,Erro,Erro
"Kuon, Ogre Ascendant",Erro,Erro,Erro
Erayo's Essence,Erro,Erro,Erro
"Erayo, Soratami Ascendant",Erro,Erro,Erro
Kuon's Essence,Erro,Erro,Erro
Sasaya's Essence,Erro,Erro,Erro
"Sasaya, Orochi Ascendant",Erro,Erro,Erro
"Rune-Tail, Kitsune Ascendant",Erro,Erro,Erro
Rune-Tail's Essence,Erro,Erro,Erro
Scarmaker,Erro,Erro,Erro
Hired Muscle,Erro,Erro,Erro
"Azamuki, Treachery Incarnate",Erro,Erro,Erro
Cunning Bandit,Erro,Erro,Erro
Jaraku the Interloper,Erro,Erro,Erro
Callow Jushi,Erro,Erro,Erro
"Ichiga, Who Topples Oaks",Erro,Erro,Erro
Budoka Pupil,Erro,Erro,Erro
Faithful Squire,Erro,Erro,Erro
"Kaiso, Memory of Loyalty",Erro,Erro,Erro
Jushi Apprentice,Erro,Erro,Erro
Tomoya the Revealer,Erro,Erro,Erro
Goka the Unjust,Erro,Erro,Erro
Initiate of Blood,Erro,Erro,Erro
Kitsune Mystic,Erro,Erro,Erro
"Autumn-Tail, Kitsune Sage",Erro,Erro,Erro
Bushi Tenderfoot,Erro,Erro,Erro
Kenzo the Hardhearted,Erro,Erro,Erro
Akki Lavarunner,Erro,Erro,Erro
"Tok-Tok, Volcano Born",Erro,Erro,Erro
Gallifrey Falls // No More,"R$ 13,73","R$ 13,73","R$ 13,73"
"Kellan, the Fae-Blooded // Birthright Boon","R$ 18,90 ","R$ 29,82 ","R$ 59,90 "
Horned Loch-Whale // Lagoon Breach,"R$ 2,98 ","R$ 9,98 ","R$ 21,88 "
Heartflame Duelist // Heartflame Slash,"R$ 1,00 ","R$ 5,44 ","R$ 24,27 "
Mosswood Dreadknight // Dread Whispers,"R$ 7,95 ","R$ 19,26 ","R$ 49,90 "
Conceited Witch // Price of Beauty,"R$ 0,05 ","R$ 0,39 ","R$ 1,25 "
Beanstalk Wurm // Plant Beans,"R$ 0,06 ","R$ 0,43 ","R$ 1,99 "
Beluna Grandsquall // Seek Thrills,"R$ 2,49 ","R$ 6,43 ","R$ 29,99 "
Elusive Otter // Grove's Bounty,"R$ 0,99 ","R$ 3,64 ","R$ 17,78 "
